id,duplicate_of_id,parent_event_id,relevance,updated,title,labels,phq_labels,category,description,start,end,predicted_end,timezone,duration,country,lat,lon,geo,placekey,impact_patterns,predicted_event_spend_total,predicted_event_spend_accommodation,predicted_event_spend_hospitality,predicted_event_spend_transportation,venue_id,venue_name,venue_formatted_address,scope,rank,local_rank,aviation_rank,phq_attendance,state,cancelled,postponed,deleted_reason,first_seen,place_hierarchies,private,brand_safe
3zQuQxqsHYgZMGqCuu,,,,2023-10-26T01:08:23Z,Winter on the Avenue,festival,"music,food-and-beverage",festivals,"Experience the enchantment of winter at 'Winter on the Avenue', a captivating festival event filled with lively activities, dazzling lights, and festive cheer. Delight in the holiday spirit as you indulge in delicious food, explore unique vendors, and enjoy live entertainment for an unforgettable winter celebration.",2023-12-03T05:00:00Z,2023-12-04T04:59:59Z,,America/New_York,86399,US,39.767376,-74.894376,"{""geometry"": {""coordinates"": [-74.894376, 39.767376], ""type"": ""Point""}}",222-222@628-qz6-k4v,,75427,13204,37853,24369,,,,locality,58,87,,2500,active,,,,2022-03-28T04:18:22Z,"6295630>6255149>6252001>5101760>4501019>4500541,6295630>6255149>6252001>5101760>4501944>4504915",False,True
DeAxG76Dagjw9xhLrn,,,,2023-10-26T01:25:57Z,Project Graduation Holiday Craft Show,"craft,festival","educational,nature-and-outdoor-activities",festivals,,2023-12-09T05:00:00Z,2023-12-10T04:59:59Z,,America/New_York,86399,US,39.849656,-74.966723,"{""geometry"": {""coordinates"": [-74.966723, 39.849656], ""type"": ""Point""}}",222-224@628-qzm-py9,,14374,2640,7234,4499,,,,locality,44,71,,500,active,,,,2022-10-16T05:01:33Z,"6295630>6255149>6252001>5101760>4501019>4501919,6295630>6255149>6252001>5101760>4501019>4501018",False,True
324FUUm5nSdCCno6GH,,,,2023-10-26T01:57:39Z,Big Holiday Shop,"community,expo","consumer-goods,religion-and-spirituality,lifestyle,festivals-and-outdoor-activities",expos,,2023-12-02T05:00:00Z,2023-12-03T04:59:59Z,,America/New_York,86399,US,41.015246,-74.174751,"{""geometry"": {""coordinates"": [-74.174751, 41.015246], ""type"": ""Point""}}",@627-vg2-st9,,117470,42252,59816,15401,,,,locality,54,83,,1500,active,,,,2022-11-13T06:00:52Z,"6295630>6255149>6252001>5101760>5095598>5106615,6295630>6255149>6252001>5101760>5102445>5102466",False,True
3t2U8g4iP2m7ZWpMt9,,,,2023-11-27T00:30:49Z,Somerville Holiday Jubilee,festival,"music,educational,family-activities",festivals,,2023-12-01T05:00:00Z,2023-12-02T04:59:59Z,,America/New_York,86399,US,40.570174,-74.618457,"{""geometry"": {""coordinates"": [-74.618457, 40.570174], ""type"": ""Point""}}",@628-hfy-3dv,,23145,3940,11362,7843,,,,locality,47,69,,746,active,,,,2022-12-03T06:31:18Z,6295630>6255149>6252001>5101760>5104759>5104774,False,True
AwYwVnCLsUU3fXd2nQ,,,,2023-10-26T03:37:56Z,Cape May Crafts at Christmas,festival,"beauty-and-fashion,nature-and-outdoor-activities,religion,art-and-cultural",festivals,"Step into the enchanting world of Cape May Crafts at Christmas, where the Cape May Convention Hall transforms into a festive wonderland filled with handcrafted treasures, charming holiday decorations, and unique gifts. Immerse yourself in the holiday spirit, browse the exquisite craftsmanship, and celebrate the magic of the season at this captivating festival event.",2023-12-02T05:00:00Z,2023-12-04T04:59:59Z,,America/New_York,172799,US,38.930116,-74.917498,"{""geometry"": {""coordinates"": [-74.917498, 38.930116], ""type"": ""Point""}}",@63s-pdp-qcq,,56991,7042,30470,19478,,,,locality,56,88,,2000,active,,,,2022-12-04T05:02:52Z,"6295630>6255149>6252001>5101760>4501053>4501066,6295630>6255149>6252001>5101760>4501053>4501057",False,True
A58d2XC5SDCuQRszfy,,,,2023-11-30T19:14:38Z,Hope Township Christmas Craft Market,festival,"religion,nature-and-outdoor-activities",festivals,,2023-12-02T05:00:00Z,2023-12-04T04:59:59Z,,America/New_York,172799,US,40.91117779366365,-74.96666687752695,"{""geometry"": {""coordinates"": [[[-74.9702839, 40.9070894], [-74.9604778, 40.9091813], [-74.9628381, 40.9151812], [-74.9729447, 40.9132354], [-74.9702839, 40.9070894]]], ""type"": ""Polygon""}}",,,87767,10563,46761,30442,,,,locality,60,96,,3000,active,,,,2022-12-04T05:04:25Z,6295630>6255149>6252001>5101760>5106044>5099296,False,True
AX2JbsESmMuQjuKo9g,,,,2023-10-26T01:10:54Z,German Christmas Market,"family,festival,food","educational,religion,family-activities",festivals,"The German Christmas Market of New Jersey is a non-profit foundation with the purpose of creating a community event in Sussex County, New Jersey that celebrates the Christmas Holiday and raises funds to distribute back into the community.",2023-12-01T05:00:00Z,2023-12-04T04:59:59Z,,America/New_York,259199,US,41.135949958226625,-74.71547929035106,"{""geometry"": {""coordinates"": [[[-74.7171744, 41.1362013], [-74.7157636, 41.1345811], [-74.7137895, 41.1356639], [-74.715195, 41.1373366], [-74.7171744, 41.1362013]]], ""type"": ""Polygon""}}",,,1529491,264070,930853,334567,3we6hDAxVFfgTGv8mY3eYp,Sussex County Fairgrounds,"37 Plains Rd
Augusta, NJ 07822
United States",locality,78,100,,25000,active,,,,2022-12-04T05:07:03Z,6295630>6255149>6252001>5101760>5105168>5101964,False,True
6UJFC5T5YfVHXEZsSw,,,,2023-11-06T04:19:05Z,DRMS Holiday Fine Crafts & Art Show,festival,"nature-and-outdoor-activities,educational,art-and-cultural",festivals,,2023-12-02T05:00:00Z,2023-12-04T04:59:59Z,,America/New_York,172799,US,40.409352,-74.986104,"{""geometry"": {""coordinates"": [-74.986104, 40.409352], ""type"": ""Point""}}",@628-d3z-p9z,,31016,5281,15587,10147,,,,locality,50,84,,1000,active,,,,2022-12-04T05:07:24Z,"6295630>6255149>6252001>5101760>5099381>5102896,6295630>6255149>6252001>5101760>5099381>5098124",False,True
Ksisukk3rvSvQcHnpP,,,,2023-12-02T13:38:46Z,Holiday Craft Fair,"craft,festival","nature-and-outdoor-activities,educational,food-and-beverage",festivals,,2023-12-02T05:00:00Z,2023-12-03T04:59:59Z,,America/New_York,86399,US,40.07809,-74.072162,"{""geometry"": {""coordinates"": [-74.072162, 40.07809], ""type"": ""Point""}}",@628-rm6-y9z,,15854,2640,8435,4778,,,,locality,44,66,,500,active,,,,2022-12-04T06:03:03Z,"6295630>6255149>6252001>5101760>4503355>5106305,6295630>6255149>6252001>5101760>4503355>4504476",False,True
AKKPF7z7JLve9wnZko,,,,2023-10-30T12:15:38Z,Dicken's Festival,festival,,festivals,,2023-12-02T05:00:00Z,2023-12-03T04:59:59Z,,America/New_York,86399,US,39.899645,-74.8239384,"{""geometry"": {""coordinates"": [[[-74.82473403805545, 39.904410619691575], [-74.82476701836389, 39.904809257747026], [-74.82396974225297, 39.90487521836388], [-74.82314276194454, 39.894879380308424], [-74.8231097816361, 39.89448074225297], [-74.82390705774702, 39.89441478163612], [-74.82473403805545, 39.904410619691575]]], ""type"": ""Polygon""}}",,,1808972,211264,1194829,402877,,,,locality,80,100,,30000,active,,,,2022-12-04T06:03:18Z,6295630>6255149>6252001>5101760>4500994>4502984,False,True
